date,location,new_cases,new_deaths,total_cases,total_deaths,mortality
2020-03-14,Afghanistan,0,0,7,0,0
2020-03-14,Albania,10,0,33,1,0.030303030303030304
2020-03-14,Algeria,1,1,26,2,0.07692307692307693
2020-03-14,Andorra,1,0,2,0,0
2020-03-14,Antigua and Barbuda,0,0,1,0,0
2020-03-14,Argentina,3,1,34,2,0.058823529411764705
2020-03-14,Armenia,7,0,8,0,0
2020-03-14,Australia,57,0,197,3,0.015228426395939087
2020-03-14,Austria,143,0,504,1,0.001984126984126984
2020-03-14,Azerbaijan,0,0,11,0,0
2020-03-14,Bahrain,15,0,210,0,0
2020-03-14,Bangladesh,0,0,3,0,0
2020-03-14,Belarus,9,0,21,0,0
2020-03-14,Belgium,285,0,599,0,0
2020-03-14,Bhutan,0,0,1,0,0
2020-03-14,Bolivia,0,0,3,0,0
2020-03-14,Bosnia and Herzegovina,7,0,11,0,0
2020-03-14,Brazil,21,0,98,0,0
2020-03-14,Brunei,13,0,25,0,0
2020-03-14,Bulgaria,0,0,7,1,0.14285714285714285
2020-03-14,Burkina Faso,0,0,2,0,0
2020-03-14,Cambodia,2,0,7,0,0
2020-03-14,Cameroon,0,0,2,0,0
2020-03-14,Canada,38,0,176,1,0.005681818181818182
2020-03-14,Cayman Islands,0,0,1,0,0
2020-03-14,Chile,10,0,43,0,0
2020-03-14,China,30,14,81021,3194,0.03942187827847101
2020-03-14,Colombia,7,0,16,0,0
2020-03-14,Costa Rica,1,0,23,0,0
2020-03-14,Cote d'Ivoire,0,0,1,0,0
2020-03-14,Croatia,11,0,27,0,0
2020-03-14,Cuba,1,0,4,0,0
2020-03-14,Cyprus,8,0,14,0,0
2020-03-14,Czech Republic,34,0,150,0,0
2020-03-14,Democratic Republic of Congo,1,0,2,0,0
2020-03-14,Denmark,127,0,801,0,0
2020-03-14,Dominican Republic,0,0,5,0,0
2020-03-14,Ecuador,6,0,23,0,0
2020-03-14,Egypt,26,1,93,2,0.021505376344086023
2020-03-14,Estonia,66,0,79,0,0
2020-03-14,Ethiopia,0,0,1,0,0
2020-03-14,Faeroe Islands,1,0,3,0,0
2020-03-14,Finland,0,0,109,0,0
2020-03-14,France,780,18,3640,79,0.021703296703296703
2020-03-14,French Guiana,0,0,6,0,0
2020-03-14,French Polynesia,0,0,1,0,0
2020-03-14,Gabon,0,0,1,0,0
2020-03-14,Georgia,0,0,25,0,0
2020-03-14,Germany,693,0,3062,6,0.001959503592423253
2020-03-14,Ghana,0,0,1,0,0
2020-03-14,Gibraltar,0,0,1,0,0
2020-03-14,Greece,0,0,98,1,0.01020408163265306
2020-03-14,Guadeloupe,0,0,1,0,0
2020-03-14,Guernsey,0,0,1,0,0
2020-03-14,Guinea,0,0,1,0,0
2020-03-14,Guyana,5,0,6,1,0.16666666666666666
2020-03-14,Honduras,0,0,2,0,0
2020-03-14,Hungary,3,0,19,0,0
2020-03-14,Iceland,0,0,61,0,0
